cities,countries,longitude,latitude,population
Istanbul, Turkey,28.955﻿,41.013611,"15,840,900"
Moscow, Russia,37.616667﻿,55.75,"12,632,409"
London, United Kingdom,-0.1275﻿,51.507222,"9,002,488"
Berlin, Germany,13.383333﻿,52.516667,"3,664,088"
Madrid, Spain,-3.716667﻿,40.383333,"3,305,408"
Kyiv, Ukraine,30.523333﻿,50.45,"2,920,873"
Rome, Italy,12.5﻿,41.9,"2,844,750"
Bucharest, Romania,26.103889﻿,44.4325,"2,161,347"
Paris, France,2.3508﻿,48.8567,"2,139,907"
Minsk, Belarus,27.566667﻿,53.9,"2,009,786"
Vienna, Austria,16.366667﻿,48.2,"1,931,830"
Warsaw, Poland,21.016667﻿,52.233333,"1,792,718"
Budapest, Hungary,19.051389﻿,47.4925,"1,723,836"
Belgrade, Serbia,20.466667﻿,44.816667,"1,694,480"
Sofia, Bulgaria,23.33﻿,42.7,"1,307,439"
Prague, Czech Republic,14.416667﻿,50.083333,"1,275,406"
Tbilisi, Georgia,44.7833﻿,41.7166,"1,202,731"
